Company Name,Contact First Name,Contact Last Name,Email,Phone,Lead Status,City,State,Website,Notes,Source Database,Business Type,Channel,Reply Received,Reply Summary,Date First Contacted,Notion URL
Food Services Inc.,,,,,Outreach Sent,Mount Vernon,,,UPS tracking: 1Z0762WC0321431085. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/19.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e816aa079ec55e2b3628b
Arizona Complete Candy & Tobacco,,,,,Outreach Sent,Glendale,,,UPS tracking: 1Z0762WC0329136185. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8177a687f269d311cf1b
Shetakis Wholesalers,,,,,Outreach Sent,North Las Vegas,,,NV. UPS tracking: 1Z0762WC0328798150. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e817aa45eceaf9593dc36
Glacier Wholesalers Inc.,,,,,Outreach Sent,Kalispell,,,MT. UPS tracking: 1Z0762WC0335885846. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81828aafe29142992666
Nassau Candy Distributors Inc.,,,,,Outreach Sent,Hicksville,,,UPS tracking: 1Z0762WC0319003293. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/24.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81878ad9eb199888b0ad
Ace Wholesale Inc.,,,,,Outreach Sent,Los Angeles,,,UPS tracking: 1Z0762WC0324585986. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8188a3a6c2ff786f180e
Jordano's Inc.,,,,,Outreach Sent,Santa Barbara,,,UPS tracking: 1Z0762WC0326405256. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8189a6aeee96ceaf6d51
Harbor Wholesale Grocery,,,,,Outreach Sent,Lacey,,,UPS tracking: 1Z0762WC0323115726. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/19.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e818a9b88d44bb0c94ee9
McLane Company Inc. (San Bernardino),,,,,Outreach Sent,San Bernardino,,,UPS tracking: 1Z0762WC0328198361. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e818cbbd6d9df3fc8ea74
PITCO Foods,,,,,Outreach Sent,West Sacramento,,,UPS tracking: 1Z0762WC0328072353. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e818e8bd7d8d202ff484e
Northland Premier Distributors,,,,,Outreach Sent,Chandler,,,UPS tracking: 1Z0762WC0339145263. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/21.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81959c03c7ff94402783
Gem State Distributors,,,,,Outreach Sent,Pocatello,,,UPS tracking: 1Z0762WC0329924823. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e8195b57aec8293fff2aa
Dot Foods Inc.,,,,,Outreach Sent,Mt Sterling,,,UPS tracking: 1Z0762WC0320428402. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/24.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e819b89a3c2d263bc2075
J&K Distribution Enterprise,,,,,Outreach Sent,Hayward,,,UPS tracking: 1Z0762WC0337048890. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81a592cdeed0291a0409
KeHE Distributors,,,,,Outreach Sent,Naperville,,,UPS tracking: 1Z0762WC0331597414. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81a88279e75559a50a2c
Trepco Imports & Distribution,,,,,Outreach Sent,Fontana,,,UPS tracking: 1Z0762WC0334491219. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81a8916ef07e460a5c77
Lively Distributing,,,,,Outreach Sent,Phoenix,,,UPS tracking: 1Z0762WC0337337792. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81af9a40d0b6166dee92
Thayer Distribution,,,,,Outreach Sent,Gibbstown,,,UPS tracking: 1Z0762WC0323323028. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/24.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81b5a0beca4a9769fc05
Deco Inc.,,,,,Outreach Sent,Needles,,,UPS tracking: 1Z0762WC0337993921. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81b8ac3be3fa32aa44ee
C Store Wholesale / LA Top Distributor,,,,,Outreach Sent,Los Angeles,,,UPS tracking: 1Z0762WC0326904743. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81c9befef118ce3ea67c
AMCON Distributing Company,,,,,Outreach Sent,Omaha,,,NE. UPS tracking: 1Z0762WC0335219995. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/23.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81ca8ca6d4f017e4e19d
Redstone Foods Inc.,,,,,Outreach Sent,Carrollton,,,UPS tracking: 1Z0762WC0325151031. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/24.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81d1a801e5aa2d2c03fd
Scheer's Wholesale of Montana,,,,,Outreach Sent,Great Falls,,,MT. UPS tracking: 1Z0762WC0325326941. Sample package: 3 bags USA Gummies + American flag + intro letter + sell sheet. Est delivery 3/20.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-18,https://www.notion.so/3284c0c42c2e81f7b4c5fd8d90840ef4
poki.com poki.com › en › skill SKILL GAMES,,,hello@poki.com,,Outreach Sent,,,,Website: https://poki.com/en/skill Email source: https://poki.com/en/skill Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-09 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-09,https://www.notion.so/31f4c0c42c2e8197a269ccb3055a7efa
"tasteofhome.com www.tasteofhome.com Taste of Home: Find Recipes, Appetizers, Desserts, Holiday...",,,digitalsupport@tasteofhome.com,,Outreach Sent,,,,"Website: https://www.tasteofhome.com Email source: https://www.tasteofhome.com/help/contact-us Email verification: dns_verified Fit score: 3 (qualified) Distance unavailable Contact QA 2026-03-09 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-09 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-09,https://www.notion.so/31e4c0c42c2e81af990efb350891df1c
apna.co www.apna.co › jobs › jobs,,,apna_escalations@apna.co,,Outreach Sent,Hyderabad and job vacancies in Bangalore in many sectors has become progressively easier. BPO,,,"Website: https://www.apna.co/jobs/jobs-in-hyderabad Email source: https://www.apna.co/contact-us Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Contact QA 2026-03-09 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-09 ET. Inbox monitor 2026-03-09: Distribution Inquiry ??? Dye-Free, Made-in-USA Gummy Bears | OTHER Inbox monitor 2026-03-11: Distribution Inquiry ??? Dye-Free, Made-in-USA Gummy Bears |",Distributor Pipeline,Distributor,Distribution,Yes,"Distribution Inquiry ??? Dye-Free, Made-in-USA Gummy Bears | OTHER",2026-03-09,https://www.notion.so/31e4c0c42c2e81deb449f46e90228eab
google.com www.google.com › finance › quote USD/EUR Currency Exchange Rate &amp; News,,,press@google.com,,Outreach Sent,,,,Website: https://www.google.com/finance/quote/USD-EUR Email source: https://www.google.com/contact Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-08 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-08,https://www.notion.so/31e4c0c42c2e811d9ef7f3a110778e43
infoglobaldata.com www.infoglobaldata.com › database › food Food Distributors Email List,,,sales@infoglobaldata.com,+1 (206) 792 3760,Outreach Sent,US,,,"Website: https://www.infoglobaldata.com/database/food-distributors-email-list Email source: https://www.infoglobaldata.com/contact Email verification: dns_verified Fit score: 7 (qualified) Contact QA 2026-03-07 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-07 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-07,https://www.notion.so/31c4c0c42c2e818d8f09cd1e933cb234
jackscandy.com jackscandy.com Jack&apos;s Candy,,,info@jackscandy.com,1808662383,Outreach Sent,S. Central Ave. Los Angeles,,,"Website: https://jackscandy.com Email source: https://jackscandy.com Email verification: dns_verified Fit score: 3 (qualified) Contact QA 2026-03-06 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. [master-sync-duplicate] 2026-03-06 ET: duplicate email present (2 records across b2b+distributor). [master-sync-cross-db] 2026-03-06 ET: same email has outreach activity in B2B CRM. No-resend guard 2026-03-06 ET: moved to Outreach Sent (send_log_recent).",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/31b4c0c42c2e8140b659f473f7391430
health.students.vcu.edu health.students.vcu.edu › media › student,,,ushs@vcu.edu,0000000000,Outreach Sent,Richmond,,,"Website: https://health.students.vcu.edu/media/student-affairs-sites/ushs/docs/Nutrition50SnackIdeas.pdf Email source: https://health.students.vcu.edu/about Email verification: dns_verified Fit score: 2 (qualified) [send-intent] 2026-03-06 12:51:31 ET: prepared initial outreach to ushs@vcu.edu (Distribution Inquiry — Dye-Free, Made-in-USA Gummy Bears). [send-intent] 2026-03-06 14:08:22 ET: prepared initial outreach to ushs@vcu.edu (Distribution Inquiry — Dye-Free, Made-in-USA Gummy Bears). [send",Distributor Pipeline,Distributor,Distribution,No,,2026-03-06,https://www.notion.so/31b4c0c42c2e81359a90f7af369b203a
health.cornell.edu health.cornell.edu › sites › health Balanced Snacks,,,cu-healthbilling@cornell.edu,2025041718,Outreach Sent,Ho Plaza Ithaca,,,"Website: https://health.cornell.edu/sites/health/files/docs/External%20Weblinks/Nutrition_snacks.pdf Email source: https://health.cornell.edu/contact Email verification: dns_verified Fit score: 2 (qualified) [send-intent] 2026-03-06 12:51:29 ET: prepared initial outreach to cu-healthbilling@cornell.edu (Distribution Inquiry — Dye-Free, Made-in-USA Gummy Bears). [send-intent] 2026-03-06 14:08:20 ET: prepared initial outreach to cu-healthbilling@cornell.edu (Distribution Inquiry — Dye-Free, Made-i",Distributor Pipeline,Distributor,Distribution,No,,2026-03-06,https://www.notion.so/31b4c0c42c2e81318857cf469f1f3d53
biodiversity.ku.edu biodiversity.ku.edu › files › files Grow Rock Candy,,,biodiversity@ku.edu,2020051915,Outreach Sent,Jayhawk Blvd Lawrence,,,"Website: https://biodiversity.ku.edu/sites/biodiversity/files/files/RockCandy.pdf Email source: https://biodiversity.ku.edu/contact Email verification: dns_verified Fit score: 2 (qualified) [master-sync-duplicate] 2026-03-06 ET: duplicate email present (2 records across b2b+distributor). [send-intent] 2026-03-06 12:51:33 ET: prepared initial outreach to biodiversity@ku.edu (Distribution Inquiry — Dye-Free, Made-in-USA Gummy Bears). [send-intent] 2026-03-06 14:08:24 ET: prepared initial outreach ",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/31b4c0c42c2e81f5a10bd2378a3e42ef
nebraskaindependent.com nebraskaindependent.com Nebraska Independent,,,contact@nebraskaindependent.com,,Outreach Sent,,,,"Website: https://nebraskaindependent.com Email source: https://nebraskaindependent.com Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable [master-sync-duplicate] 2026-03-06 ET: duplicate email present (2 records across b2b+distributor). [send-intent] 2026-03-06 12:51:26 ET: prepared initial outreach to contact@nebraskaindependent.com (Distribution Inquiry — Dye-Free, Made-in-USA Gummy Bears). [send-intent] 2026-03-06 14:08:19 ET: prepared initial outreach to contact@n",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/31b4c0c42c2e811d8e75e2de900dc754
snackvideo.com www.snackvideo.com Kwai,,,user-service@snackvideo.com,,Outreach Sent,,,,Website: https://www.snackvideo.com Email source: https://www.snackvideo.com/about Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-05 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-05,https://www.notion.so/31b4c0c42c2e813faf83c5f4589260f5
empiresnackdist.com empiresnackdist.com Empire Snack Distributors,,,sales@empiresnackdist.com,(631) 940-1864,Outreach Sent,Rabro Dr Hauppauge,,,Website: https://empiresnackdist.com Email source: https://empiresnackdist.com/contact Email verification: dns_verified Fit score: 6 (qualified) Sent initial outreach 2026-03-05 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-05,https://www.notion.so/31a4c0c42c2e81be9512e24fdaa73e00
snackerz.com snackerz.com › main Main,,,info@snackerz.com,(523) 486-3562,Outreach Sent,San Francisco,,,Website: https://snackerz.com/main Email source: https://snackerz.com/main Email verification: dns_verified Fit score: 6 (qualified) Sent initial outreach 2026-03-04 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-04,https://www.notion.so/31a4c0c42c2e811d8966e7d562c96173
lawlerfixturecompany.com lawlerfixturecompany.com Lawler Fixture Company &bull; Commercial Restaurant Equipment ...,,,teresa.schwietz@lawlerfixturecompany.com,(712) 252-0705,Outreach Sent,Street Sioux City,,,Website: https://lawlerfixturecompany.com Email source: https://lawlerfixturecompany.com/contact-us Email verification: dns_verified Fit score: 3 (qualified) Sent initial outreach 2026-03-04 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-04,https://www.notion.so/31a4c0c42c2e812ab021f223b3340947
independent.ie www.independent.ie Irish Independent,,,info@independent.ie,,Outreach Sent,,,,"Website: https://www.independent.ie Email source: https://www.independent.ie/about-us Email verification: dns_verified Fit score: 1 (low_fit_score) Recovery mode: yes Distance unavailable Contact QA 2026-03-04 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. No-resend guard 2026-03-04 ET: moved to Outreach Sent (send_log_recent). [master-sync-duplicate] 2026-03-05 ET: duplicate email present (2 records across b2b+distributor). [master-sync-cross-db] 2026-03-0",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/31a4c0c42c2e81a4a56ad0f6a9d083d1
independent.co.uk www.independent.co.uk News,,,newsdesk@independent.co.uk,,Outreach Sent,Latest news and features from US,,,"Website: https://www.independent.co.uk Email source: https://www.independent.co.uk/service/contact-us-759589.html Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable [send-guard-cross-db] 2026-03-04 ET: blocked initial send. Same email exists in B2B CRM with outreach activity. Contact QA 2026-03-04 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. No-resend guard 2026-03-04 ET: moved to Outreach Sent (send_log_recent). [master-sync-d",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/3194c0c42c2e81d29958f08fdcecbaba
healthline.com www.healthline.com › health › dementia 11 Early Signs of Dementia : What to Watch Out For,,,partnerships@healthline.com,,Outreach Sent,Early Symptoms of Dementia Medically reviewed by Lauren Castiello,,,"Website: https://www.healthline.com/health/dementia/early-warning-signs Email source: https://www.healthline.com/about Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Contact QA 2026-03-04 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-04 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-04,https://www.notion.so/3194c0c42c2e819a88c6eb30eabd3572
sees.com www.sees.com Candies &amp; Chocolates Online,,,customerservice@sees.com,800-347-7337,Outreach Sent,South Alameda Street Carson,,,"Website: https://www.sees.com Email source: https://www.sees.com/contact-us Email verification: dns_verified Fit score: 2 (qualified) Contact QA 2026-03-04 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-04 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-04,https://www.notion.so/3194c0c42c2e8154b8a2e1a227ae4c9d
globalcomix.com globalcomix.com › browse › comics Read Comics Online,,,content-violation@globalcomix.com,,Outreach Sent,Camilla Zhang Director of Audience Development Camilla is a New York City native and a comics and prose writer with an editorial and legal background. She has worked for Marvel Entertainment,,,"Website: https://globalcomix.com/browse/comics Email source: https://globalcomix.com/about Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Contact QA 2026-03-03 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-03 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-03,https://www.notion.so/3184c0c42c2e8190b7e1e2fbd6bb7da8
food.com www.food.com Food .com,,,u003ehelp@food.com,,Bounced,,,,Website: https://www.food.com Email source: https://www.food.com/how-to/about-us-31 Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-02 ET. Inbox monitor 2026-03-02: Delivery Status Notification (Failure) | BOUNCE,Distributor Pipeline,Distributor,Distribution,Yes,Delivery Status Notification (Failure) | BOUNCE,2026-03-02,https://www.notion.so/3184c0c42c2e810890ccf56c3c0c2e13
hammondscandies.com hammondscandies.com Hammond's Candies,,,info@hammondscandies.com,,Bounced,,,,Website: https://hammondscandies.com Email source: https://hammondscandies.com/pages/privacy-policy Email verification: dns_verified Fit score: 5 (qualified) Distance unavailable Sent initial outreach 2026-03-02 ET. Inbox monitor 2026-03-02: Delivery Status Notification (Failure) | BOUNCE,Distributor Pipeline,Distributor,Distribution,Yes,Delivery Status Notification (Failure) | BOUNCE,2026-03-02,https://www.notion.so/3184c0c42c2e815aaebfe1d117e3932d
msccruises.de www.msccruises.de › reiseziele › norwegische,,,buchung@msccruises.de,089-2030438,Outreach Sent,,,,"Website: https://www.msccruises.de/reiseziele/norwegische-fjorde Email source: https://www.msccruises.de/contact-us Email verification: dns_verified Fit score: 1 (low_fit_score) Recovery mode: yes Distance unavailable Contact QA 2026-03-02 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-02 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-02,https://www.notion.so/3174c0c42c2e811cb3c2d8b2a1386170
dreamlines.de www.dreamlines.de › kreuzfahrten › norwegische,,,info@dreamlines.de,040-8740677,Outreach Sent,,,,"Website: https://www.dreamlines.de/kreuzfahrten/norwegische-fjorde Email source: https://www.dreamlines.de/kreuzfahrten/norwegische-fjorde Email verification: dns_verified Fit score: 1 (low_fit_score) Recovery mode: yes Distance unavailable Contact QA 2026-03-02 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-02 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-02,https://www.notion.so/3174c0c42c2e815e9a39ce3878df9575
therange247.co.nz therange247.co.nz The Range 24x7,,,contact@therange247.co.nz,6420448550,Outreach Sent,,,,"Website: https://therange247.co.nz Email source: https://therange247.co.nz/contact-us Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Contact QA 2026-03-02 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-02 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-02,https://www.notion.so/3174c0c42c2e81139cf8d22bdd8911cf
kyivpost.com www.kyivpost.com › post › 50589 Ukrainian Protestants Wrestle With War and Faith,,,digital@kyivpost.com,,Outreach Sent,,,,Website: https://www.kyivpost.com/post/50589 Email source: https://www.kyivpost.com/post/50589 Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-01 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3174c0c42c2e81cf9f1ac89ba4fe396d
knordicspa.com knordicspa.com › TRANSFORMATION Transformation Journey,,,reservations@knordicspa.com,833-778-5567,Outreach Sent,,,,Website: https://knordicspa.com/TRANSFORMATION Email source: https://knordicspa.com/contact Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-01 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3174c0c42c2e81769786d973e118896e
dictionary.com www.dictionary.com › browse › confectionery CONFECTIONERY Definition &amp; Meaning,,,support@dictionary.com,,Outreach Sent,,,,"Website: https://www.dictionary.com/browse/confectionery Email source: https://www.dictionary.com/browse/confectionery Email verification: dns_verified_role_or_utility_mailbox Fit score: 4 (qualified) Distance unavailable [send-guard-cross-db] 2026-03-01 ET: blocked initial send. Same email exists in B2B CRM with outreach activity. Contact QA 2026-03-02 ET: grade=B, score=76, eligible=yes, checks=dns_reachable,source_noted,website_noted,role_mailbox. [master-sync-duplicate] 2026-03-02 ET: duplic",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/3174c0c42c2e8113b263d38d770e3190
usatoday.com www.usatoday.com › trump,,,accuracy@usatoday.com,800-872-0001,Outreach Sent,,,,Website: https://www.usatoday.com/story/news/nation/2026/02/09/trump-gulf-of-america-mexico/88547801007 Email source: https://www.usatoday.com/about Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-01 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3174c0c42c2e8117b41afc4f2ec80a76
tmz.com www.tmz.com Celebrity News,,,tips@tmz.com,(888) 847-9869,Outreach Sent,,,,"Website: https://www.tmz.com Email source: https://www.tmz.com/contact Email verification: dns_verified Fit score: 1 (low_fit_score) Recovery mode: yes Distance unavailable Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-01 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3164c0c42c2e81dcb013f14cd2c14628
farmhouseharvest.net farmhouseharvest.net › how,,,admin@farmhouseharvest.net,208-244-8505,Outreach Sent,,,,Website: https://farmhouseharvest.net/how-to-make-strawberry-walnut-salad-fasy-easy-fresh-sides Email source: https://farmhouseharvest.net/contact Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable Sent initial outreach 2026-03-01 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3164c0c42c2e81329c10ff03d933d67c
sweetiescandyaz.com www.sweetiescandyaz.com Sweeties Candy of Arizona &ndash; Arizona&apos;s Largest Candy Store!,,,info@sweetiescandyaz.com,480.899.4245,Outreach Sent,N Alma School Rd Chandler,,,"Website: https://www.sweetiescandyaz.com Email source: https://www.sweetiescandyaz.com/our-brands Email verification: dns_verified Fit score: 2 (qualified) Distance unavailable [send-guard-cross-db] 2026-03-01 ET: blocked initial send. Same email exists in B2B CRM with outreach activity. Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. No-resend guard 2026-03-01 ET: moved to Outreach Sent (send_log_recent). [master-sync-duplicate] 2026-0",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/3164c0c42c2e819e98e1e13c524d3361
peddlersson.com peddlersson.com Trusted Wholesale Delivery,,,hr@peddlersson.com,602-253-3577,Outreach Sent,E. Jackson St. Phoenix,,,"Website: https://peddlersson.com Email source: https://peddlersson.com/inside-sales Email verification: dns_verified Fit score: 5 (qualified) Distance unavailable Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-01 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3164c0c42c2e810080edfdce096e6e11
lehivalley.com lehivalley.com Snack Manufacturer: Branded and Private Label Solutions,,,info@lehivalley.com,877-962-5017,Outreach Sent,E McKellips Rd. Mesa,,,"Website: https://lehivalley.com Email source: https://lehivalley.com/contact Email verification: dns_verified Fit score: 4 (qualified) Distance unavailable Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-01 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3164c0c42c2e81e2a56ad200f6cd80c4
arizonafoodsgroup.com arizonafoodsgroup.com Arizona Foods Group,,,customerservice@arizonafoodsgroup.com,602-232-2570,Outreach Sent,E Chambers St Phoenix,,,"Website: https://arizonafoodsgroup.com Email source: https://arizonafoodsgroup.com/contact Email verification: dns_verified Fit score: 5 (qualified) Distance unavailable Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. Sent initial outreach 2026-03-01 ET.",Distributor Pipeline,Distributor,Distribution,No,,2026-03-01,https://www.notion.so/3164c0c42c2e815bace2c5b3e04cfb2d
"Confectionery Broker Covering Southern California, Northern California",,,info@actionsaleswest.com,818-222-8840,Outreach Sent,,,,Website: https://www.actionsaleswest.com Email source: https://www.actionsaleswest.com/contact-us Email verification: dns_verified Fit score: 5 (qualified) Distance unavailable Sent initial outreach 2026-02-28 ET.,Distributor Pipeline,Distributor,Distribution,No,,2026-02-28,https://www.notion.so/3164c0c42c2e8161b613d5cc34306e3c
independent.org www.independent.org › news › independent Independent Institute in the News,,,orders@independent.org,(510) 632-1366,Outreach Sent,Swan Way Oakland,,,"Website: https://www.independent.org/news/independent Email source: https://www.independent.org/contact Email verification: dns_verified Fit score: 1 (low_fit_score) Recovery mode: yes Distance unavailable [send-guard-cross-db] 2026-02-28 ET: blocked initial send. Same email exists in B2B CRM with outreach activity. Contact QA 2026-03-01 ET: grade=B, score=84, eligible=yes, checks=dns_reachable,source_noted,website_noted. No-resend guard 2026-03-01 ET: moved to Outreach Sent (send_log_recent). [",Distributor Pipeline,Distributor,Distribution,No,,,https://www.notion.so/3154c0c42c2e810a8328f09563e7f632
